,target,nn1,nn2,nn3,nn5,nn10,nn50,outlier
0,physicalism__xx,physicalism__xx(1.0),posit__xx(0.49277007006417567),that..(0.492110325737),caldernzygmund(0.4782119356464377),life..(0.4572059303537546),preconceived(0.40592956606942093),"(0.38551908673795054, 'paradox__xx')"
1,words__xx,words__xx(1.0),conditionals__xx(0.534987442047914),about__xx(0.503328212937),attributes__xx(0.4798661420249092),conditionals(0.45543812332032557),meaning__xx(0.3972731827679848),"(0.37376701155639824, 'functors')"
2,quantifiers__xx,quantifiers__xx(1.0),quantifiers(0.637741586857173),variables__xx(0.604268563514),tasm(0.5464750957597363),numbers__xx(0.5339694034988062),maacah(0.5207112519536407),"(0.49675024690045466, 'helpfulness')"
3,variables__xx,variables__xx(1.0),quantifiers(0.6129963924901327),construction__xx(0.61146344766),stavo(0.5577246183096448),demisexual(0.5441259141046125),pixmap(0.5233447125710071),"(0.5009417220185215, 'adverbs')"
4,maxim__xx,maxim__xx(1.0),intuitively(0.5688403920591333),counterintuitive(0.554289069758),fallacy(0.526048141219458),presumption(0.5086092528231329),realisation(0.4642800815933936),"(0.431367111974873, 'reduction__xx')"
5,specious_present__xx,specious_present__xx(1.0),antalls(0.553900558942659),millmans(0.548215787545),cheilostomata(0.4930589391081472),mudik(0.4817393057365634),cotps(0.4525183840714881),"(0.3850769950296463, 'svz')"
6,phoneme__xx,phoneme__xx(1.0),object__xx(0.6530447399501204),affairthe(0.525049255521),description__xx(0.5106563037187387),meaning__xx(0.4855796286263243),stillmore(0.3996890698950753),"(0.3763998159011277, 'recursion')"
7,numbers__xx,numbers__xx(1.0),jacobian(0.6679749277146207),algebras(0.666886138131),eigenvalues(0.6645825122023428),integrals(0.6598915730595134),categorical(0.6119322553631517),"(0.588276314916559, 'nontrivial')"
8,learning__xx,learning__xx(1.0),translation__xx(0.6310236292105517),utterances__xx(0.549509768216),subjectobjectverb(0.5243934314376445),chokhmah(0.50363771685739),vidari(0.44189826115544245),"(0.4197136050250887, 'construe')"
9,divided_reference__xx,divided_reference__xx(1.0),nederduits(0.5434956143139122),transcompiling(0.540403008644),reframing(0.4943629207517068),acetyltransferases(0.487099143893944),hambirao(0.4591484832829945),"(0.41623556561133845, 'phoneme__xx')"
10,information__xx,information__xx(1.0),ordered_pair__xx(0.5849625826866701),ordinals(0.573266983771),numbers__xx(0.5417978795611584),comprehend(0.5183811656104319),ambiguity__xx(0.4575310570163922),"(0.43098112714121756, 'unobservable')"
11,nominalism__xx,nominalism__xx(1.0),attributes__xx(0.5387967740160697),prediction__xx(0.506871431477),posit__xx(0.4660723695075361),relativism(0.4509763467444009),individualism(0.397383498921411),"(0.3741390101659744, 'holism')"
12,paradox__xx,paradox__xx(1.0),about__xx(0.5272853453997489),meaning__xx(0.478135867369),prediction__xx(0.4589113346352214),attributes__xx(0.43523086276995776),why(0.37834959251949357),"(0.35416457716115574, 'trivially')"
13,truth_functions__xx,truth_functions__xx(1.0),conditionals__xx(0.5081501912849755),ideas__xx(0.490551066776),orbicella(0.4587657758384603),adjectives__xx(0.44543782411279653),propositional(0.4033338920705628),"(0.38294660753159726, 'variables__xx')"
14,dispositions__xx,dispositions__xx(1.0),translation__xx(0.6170622440909465),dispositions(0.568962568274),information__xx(0.5474527036912896),imperative(0.49655928110241776),existential(0.44989147623991177),"(0.4241137073216048, 'altruistic')"
15,relative_terms__xx,relative_terms__xx(1.0),conditionals__xx(0.46207849047324345),predicates(0.461032862713),tetrafluoroethylene(0.44761299783672),adjectival(0.4318804165329409),unipotent(0.3840597990140112),"(0.36346985085518474, 'neednt')"
16,ideas__xx,ideas__xx(1.0),predicates(0.644643233777078),conditionals__xx(0.608138985003),attributes__xx(0.5691163861353427),immutable(0.541861897692778),meaning__xx(0.4691307498557279),"(0.431700595709939, 'variables__xx')"
17,reality__xx,reality__xx(1.0),monism(0.5890449600136162),meaning__xx(0.577347815396),meaninglessness__xx(0.5255927040529246),immanent(0.5050396586985412),ontological(0.46456611998735386),"(0.4416856824593342, 'declarative')"
18,application__xx,application__xx(1.0),multiplicity(0.568226521665545),recursion(0.563793824092),martingale(0.5493002323398897),ergodic(0.5358024357721793),priori(0.4950984402442889),"(0.46229794509765565, 'definable')"
19,reduction__xx,reduction__xx(1.0),quantification__xx(0.6007127541096816),propositional(0.588789515443),predicates(0.5614652951788447),axioms(0.5368247563474255),proofs(0.48983619813851426),"(0.46150206031475993, 'trigonometric')"
20,parts__xx,parts__xx(1.0),objects__xx(0.5549399689469893),predicates(0.501811877035),morphisms(0.4682825735362867),negation(0.44108193897971654),lattices(0.39671620796102025),"(0.3778018344510124, 'multiplicative')"
21,ambiguity__xx,ambiguity__xx(1.0),predicate(0.5655492839440732),generality(0.543937256271),suffices(0.5235851956692267),learning__xx(0.5115151792887938),infer(0.44334280318818003),"(0.41623649416016184, 'grammatically')"
22,memory__xx,memory__xx(1.0),whoit(0.5091151868470429),thatll(0.499182624433),muranda(0.4560760674918819),ourselves(0.44775149416399534),theyll(0.40895948323463316),"(0.38053805828942444, 'hurtful')"
23,truth_vehicles__xx,truth_vehicles__xx(1.0),vpcs(0.6043907498471554),tlh(0.582047594127),hachuring(0.5125858070644356),juw(0.49505721874079234),niezabitowska(0.44984899406340334),"(0.37305732663237706, 'straightedge')"
24,mentalistic__xx,mentalistic__xx(1.0),utterance(0.5428638480902986),objects__xx(0.540365737732),truthful(0.5245556856405486),clarifying(0.5038375349541978),objectivity(0.4372729214898608),"(0.408899186910441, 'object__xx')"
25,confirmation__xx,confirmation__xx(1.0),plausibility(0.6514146002313748),meaning__xx(0.628595271746),construction__xx(0.5388460577804624),applicability(0.5119791626695528),intuition(0.46324068462445034),"(0.4299355441510079, 'postulates')"
26,description__xx,description__xx(1.0),predicate(0.6341535203216879),predicates(0.617468987148),equivalence(0.5808161256910277),transitive(0.5562385678511749),dft(0.5072837908111215),"(0.47114658457596703, 'cardinality')"
27,ordered_pair__xx,ordered_pair__xx(1.0),information__xx(0.5849625826866701),predicate(0.549267594862),numbers__xx(0.5271028749715306),ambiguity__xx(0.5014618659225122),homotopic(0.4379367072995394),"(0.41270320841828023, 'rationally')"
28,object__xx,object__xx(1.0),phoneme__xx(0.6530447399501204),sense_datum__xx(0.56157399389),predicates(0.5295669353072836),declarative(0.48662748874079037),abstand(0.4597781470206242),"(0.4401162297745541, 'austroasiatic')"
29,mental_states__xx,mental_states__xx(1.0),subsemigroups(0.6576518534377681),citybrazil(0.602017142184),quinian(0.5637796279452003),colish(0.5380012248274928),moonwalks(0.4962238226881959),"(0.47646885739742945, 'empiricist')"
30,subtraction__xx,subtraction__xx(1.0),ordinal(0.6040513011118614),attributes__xx(0.570440176781),equivalence(0.5661195475902847),arithmetical(0.5609594292325559),quadratic(0.5271292252336661),"(0.5057713416899308, 'adic')"
31,prediction__xx,prediction__xx(1.0),posit__xx(0.6259397974903511),conclusive(0.595690451274),about__xx(0.5540618675003941),causality(0.5311391073179141),cosmological(0.46592275824167484),"(0.44151728436270254, 'conditionals__xx')"
32,sense_datum__xx,sense_datum__xx(1.0),knaanic(0.6208134864160203),rhinelandic(0.605158254433),kurmali(0.5927666209615696),vidari(0.5885562748741481),mavea(0.5596062691728994),"(0.504178973126957, 'loloish')"
33,pronouns__xx,pronouns__xx(1.0),predicates(0.6100591301305387),pronouns(0.523749785565),prepositions(0.49429717090395175),grammatical(0.4697289221116735),clarifying(0.4115588399525212),"(0.3867587488227562, 'uncountable')"
34,meaning__xx,meaning__xx(1.0),attributes__xx(0.6407686506470152),confirmation__xx(0.628595271746),reality__xx(0.5773478153960551),translation__xx(0.5565162537001352),paradoxical(0.48592659868160865),"(0.45160778122227385, 'nominalism__xx')"
35,construction__xx,construction__xx(1.0),intuitively(0.6209325921267471),variables__xx(0.61146344766),quantifiers__xx(0.5934610995890073),logically(0.5511036535387575),ideas__xx(0.483079643461707),"(0.45234286408720153, 'definable')"
36,conditioning__xx,conditioning__xx(1.0),cfbg(0.558460385147258),zuka(0.556160825837),evri(0.550397587744652),pldts(0.544536222423873),najadi(0.48398298357845976),"(0.4183936380736911, 'multisensory')"
37,nouns__xx,nouns__xx(1.0),adjectives__xx(0.5959348802593132),prepositions(0.595791360636),periphrastic(0.5721691014442677),adjectival(0.5511402597093408),precede(0.4760107804636865),"(0.4265190656774451, 'inflect')"
38,translation__xx,translation__xx(1.0),learning__xx(0.6310236292105517),predicate(0.627759482528),negation(0.6107077146949895),propositional(0.5761135268887809),causation(0.5025980776457127),"(0.46448128774355135, 'arithmetical')"
39,intension__xx,intension__xx(1.0),haneullim(0.607244012647917),carrang(0.59562188548),preslavets(0.5782869385679285),ammos(0.5659762512055252),lutum(0.5177091036547257),"(0.46905882531443677, 'attributes__xx')"
40,about__xx,about__xx(1.0),intuitively(0.6522333546823541),logically(0.622159601783),truthful(0.593712410124046),comprehend(0.5795134214445556),sure(0.5220703617612229),"(0.4964985799138003, 'maxim__xx')"
41,propositional_attitudes__xx,propositional_attitudes__xx(1.0),attributes__xx(0.4629658582561398),indeterminacy(0.454933016589),application__xx(0.4172570580881146),causation(0.40405804676625245),dialectical(0.3591847325691272),"(0.3422456312648922, 'boor')"
42,utterances__xx,utterances__xx(1.0),learning__xx(0.5495097682158279),translation__xx(0.53630472145),comprehend(0.4852501503905988),comprehensible(0.4623378272147367),gespeg(0.401397235612617),"(0.3730796689482939, 'unknowable')"
43,quantification__xx,quantification__xx(1.0),propositional(0.6740746426922295),predicates(0.65762518873),computable(0.6366847517204338),boolean(0.6167019738025109),algebraically(0.5665595884438168),"(0.5294403113985472, 'monoid')"
44,logical_particles__xx,logical_particles__xx(1.0),categorematic(0.5464946167933944),bacteriorhodopsin(0.521763848996),methylprednisolone(0.5075854439224136),zoocoffee(0.4766885104617792),ponens(0.41253336267857965),"(0.38826997780337036, 'pseudorandom')"
45,observation_sentences__xx,observation_sentences__xx(1.0),ideas__xx(0.5130738438025326),conditionals__xx(0.492857069611),orthogonality(0.45896982406846343),memory__xx(0.42922633417638495),causality(0.38553279795420053),"(0.36503713162867985, 'correspondences')"
46,adjectives__xx,adjectives__xx(1.0),nouns__xx(0.5959348802593132),predicative(0.583566770255),inflect(0.5572484501343201),verbs(0.5330302458220469),pronouns__xx(0.4515984322141335),"(0.4123531272298766, 'modifiers')"
47,objects__xx,objects__xx(1.0),numbers__xx(0.5614315542633023),parts__xx(0.554939968947),predicates(0.5153655475019328),priori(0.5082365529465102),quantification(0.4463125879974395),"(0.41564783997207727, 'generalizing')"
48,transparency__xx,transparency__xx(1.0),pitches..(0.5554788012749582),antinaturalism(0.519438797556),helenalin(0.4918789688202927),zwemers(0.47929247331304214),countershaded(0.42414404005882866),"(0.37022511811960584, 'instantiated')"
49,time__xx,time__xx(1.0),object__xx(0.5421348766292309),phoneme__xx(0.491099062035),reality__xx(0.4726563724939055),construction__xx(0.4295476222990372),intragenic(0.37298148672715314),"(0.3558830950375581, 'archimedean')"
50,posit__xx,posit__xx(1.0),prediction__xx(0.6259397974903511),conceive(0.620930070565),anyones(0.5917023964437924),certainty(0.57702123933153),ignore(0.5098733509633344),"(0.47936855061258943, 'illusory')"
51,attributes__xx,attributes__xx(1.0),meaning__xx(0.6407686506470152),quantification__xx(0.637977651985),logically(0.601047587511533),predicate(0.5745613453775341),mappings(0.5040686007733958),"(0.46573780991462366, 'semantically')"
52,meaninglessness__xx,meaninglessness__xx(1.0),vanatr(0.6042639411751676),mithyatva(0.596919210363),pillock(0.5760786889443317),schelers(0.5256477963668575),coolitude(0.47424935317482475),"(0.44703645219250426, 'sameness')"
53,intensional_abstraction__xx,intensional_abstraction__xx(1.0),sportband(0.6219895482264055),ntfps(0.590429250749),equipotentiality(0.5687634988671549),onesaf(0.5449010746089455),wannier(0.47764477686242357),"(0.4576620269722377, 'macrophotography')"
54,conditionals__xx,conditionals__xx(1.0),predicates(0.6640054214985449),ideas__xx(0.608138985003),attributes__xx(0.5798823392480061),formulae(0.5508012769290374),generalize(0.49131525828545175),"(0.4650492306274231, 'subtraction__xx')"
