,term,#1,#2,#3,#5,#10,#50,outlier
0,physicalism,"('correspondingly', 0.6042724847793579)","('refinement', 0.5837435722351074)","('incompatibility', 0.5827860236167908)","('trappings', 0.570641040802002)","('reducible', 0.5505185723304749)","('tautologies', 0.4807735085487366)","('opposite', 0.44940346479415894)"
1,words,"('explain', 0.6753242015838623)","('are', 0.6568731069564819)","('continues', 0.6478898525238037)","('premack', 0.637627899646759)","('demand', 0.6202481985092163)","('falsifying', 0.577675461769104)","('material', 0.5602807998657227)"
2,quantifiers,"('representing', 0.741980791091919)","('prawitz', 0.7040588855743408)","('being', 0.695273756980896)","('abundance', 0.6705483794212341)","('obtain', 0.664268970489502)","('operative', 0.6304095387458801)","('book', 0.6108224391937256)"
3,variables,"('aussonderungsaxiom', 0.6837558746337891)","('defining', 0.676120936870575)","('imparting', 0.6745376586914062)","('clerk', 0.6420278549194336)","('perm', 0.6361421346664429)","('waters', 0.5801144242286682)","('more', 0.5424065589904785)"
4,maxim,"('minimum', 0.6061750650405884)","('exuberant', 0.594306230545044)","('again', 0.5823254585266113)","('convenience', 0.5612900257110596)","('psychological', 0.5432259440422058)","('suits', 0.5022157430648804)","('seek', 0.48024916648864746)"
5,specious_present,"('leaves', 0.7540522217750549)","('dropped', 0.6904047131538391)","('meet', 0.6592467427253723)","('events', 0.6398519277572632)","('paris', 0.6133823394775391)","('possible', 0.546433687210083)","('sensible', 0.5294733047485352)"
6,phoneme,"('schrˆder', 0.6063171625137329)","('refinement', 0.6051839590072632)","('assure', 0.5955398678779602)","('appealing', 0.5691755414009094)","('modification', 0.5507762432098389)","('long', 0.501542329788208)","('deriving', 0.47614893317222595)"
7,numbers,"('tests', 0.7267031073570251)","('symbolic', 0.6660110354423523)","('take', 0.6539446115493774)","('obtain', 0.6405243873596191)","('decline', 0.6247974634170532)","('specifiable', 0.5939038395881653)","('means', 0.5696845650672913)"
8,learning,"('directly', 0.571384072303772)","('reductio', 0.5335866212844849)","('old', 0.5263323783874512)","('we', 0.5157341957092285)","('columbia', 0.5116766691207886)","('unless', 0.47865086793899536)","('upon', 0.45713597536087036)"
9,divided_reference,"('papers', 0.6400604844093323)","('hxy', 0.6326990127563477)","('fine', 0.6164989471435547)","('isolation', 0.5978942513465881)","('provincial', 0.5635441541671753)","('ëitís', 0.5039263963699341)","('molded', 0.476377010345459)"
10,information,"('expressing', 0.562657356262207)","('reductions', 0.5541568994522095)","('lengths', 0.5530674457550049)","('ôfõ', 0.5306439399719238)","('saw', 0.5213782787322998)","('studying', 0.4816551208496094)","('primary', 0.45806342363357544)"
11,nominalism,"('recognized', 0.5270965099334717)","('forth', 0.518254816532135)","('responsive', 0.48991912603378296)","('exist', 0.48702239990234375)","('unscientific', 0.4743751883506775)","('tendentiously', 0.4389152526855469)","('fi', 0.41919559240341187)"
12,paradox,"('ìon', 0.6736229658126831)","('reflects', 0.6680153608322144)","('hail', 0.656712532043457)","('syncategorematic', 0.6392519474029541)","('thorough', 0.6221662759780884)","('only', 0.5765870809555054)","('complex', 0.5559872388839722)"
13,truth_functions,"('referential', 0.6824158430099487)","('immanently', 0.6422076225280762)","('terms', 0.6384295225143433)","('have', 0.6224079728126526)","('their', 0.6142123341560364)","('hark', 0.5824824571609497)","('etc', 0.5563881397247314)"
14,dispositions,"('dispense', 0.6128731966018677)","('absolutely', 0.5811583995819092)","('acceptable', 0.5772706866264343)","('referred', 0.5607684850692749)","('impoverishment', 0.553135097026825)","('case', 0.516817569732666)","('attributed', 0.501362681388855)"
15,relative_terms,"('guiding', 0.6894655227661133)","('protosyntactical', 0.689300000667572)","('produce', 0.6890953779220581)","('eponymous', 0.6743100881576538)","('demonstrable', 0.6625058650970459)","('perhaps', 0.6179524064064026)","('although', 0.5963619947433472)"
16,ideas,"('figures', 0.6754703521728516)","('input', 0.6655906438827515)","('absolutely', 0.6469765305519104)","('ruthlessly', 0.6281715631484985)","('script', 0.6201286315917969)","('attend', 0.5719764828681946)","('word', 0.550359845161438)"
17,reality,"('jaakko', 0.7293728590011597)","('programming', 0.7062655687332153)","('overlaid', 0.6881659030914307)","('univocal', 0.6619195938110352)","('mission', 0.6211268305778503)","('command', 0.5668536424636841)","('necessity', 0.5373281836509705)"
18,application,"('in', 0.7154136300086975)","('belong', 0.7035356163978577)","('community', 0.6993823647499084)","('repeatable', 0.6894493103027344)","('characterize', 0.6792634725570679)","('ime', 0.6495540142059326)","('u', 0.6274803280830383)"
19,reduction,"('often', 0.6709962487220764)","('direct', 0.6604467034339905)","('dwindles', 0.6435278654098511)","('incommensurability', 0.6349347233772278)","('truths', 0.6293627023696899)","('prawitz', 0.6000109910964966)","('forms', 0.5832614898681641)"
20,parts,"('quanta', 0.7307301163673401)","('total', 0.6527529358863831)","('summed', 0.6384841799736023)","('invalidate', 0.6024715900421143)","('indistinguishability', 0.5720173120498657)","('recognizable', 0.5133416652679443)","('name', 0.48556220531463623)"
21,ambiguity,"('ά', 0.7236208915710449)","('instantiation', 0.7148892283439636)","('ôimpliesõ', 0.6782553195953369)","('earlier', 0.6648088693618774)","('adjunction', 0.6509504318237305)","('tries', 0.610447883605957)","('else', 0.5875861048698425)"
22,memory,"('sign', 0.5668454170227051)","('vira', 0.5654861330986023)","('ësuch', 0.5350543260574341)","('crude', 0.5126442909240723)","('farewell', 0.4972988963127136)","('operate', 0.4502229690551758)","('immanent', 0.43179401755332947)"
23,truth_vehicles,"('outrunning', 0.5088847875595093)","('pernicious', 0.5076371431350708)","('prolonged', 0.5026463270187378)","('eskimos', 0.4796900749206543)","('copy', 0.4671843647956848)","('enact', 0.408457487821579)","('quarks', 0.3842965066432953)"
24,mentalistic,"('relates', 0.6520994305610657)","('contexts', 0.6314680576324463)","('permutations', 0.6262474656105042)","('lexicon', 0.6142545938491821)","('hold', 0.5947319269180298)","(""'"", 0.5563721656799316)","('times', 0.5264096260070801)"
25,confirmation,"('bury', 0.6477093696594238)","('slater', 0.6395320892333984)","('locke', 0.6270521879196167)","('ëgxí', 0.5962320566177368)","('main', 0.5663108229637146)","('archaeological', 0.5292482376098633)","('sight', 0.5034278035163879)"
26,description,"('framed', 0.6951490640640259)","('borne', 0.6560813188552856)","('dyadic', 0.6486448049545288)","('fxb', 0.6331598162651062)","('case', 0.629542350769043)","('definitions', 0.5815335512161255)","('here', 0.5588128566741943)"
27,ordered_pair,"('denotative', 0.7388505935668945)","('constitutes', 0.7229539752006531)","('assuring', 0.6956750154495239)","('loathe', 0.6558449268341064)","('heathen', 0.642336905002594)","('polar', 0.59228515625)","('ß', 0.5722965598106384)"
28,object,"('passive', 0.6873160004615784)","('incorrect', 0.6833862066268921)","('multiply', 0.679151713848114)","('irradiation', 0.6734964847564697)","('ambiguity', 0.6611767411231995)","('wherefore', 0.6207870244979858)","('earlier', 0.5948354005813599)"
29,mental_states,"('matched', 0.634532630443573)","('breadth', 0.5983171463012695)","('states', 0.5927597880363464)","('maximizing', 0.5816681981086731)","('supplementing', 0.5695822238922119)","('weaker', 0.5366246104240417)","('rise', 0.5184536576271057)"
30,subtraction,"('extraneous', 0.6402000188827515)","('avoided', 0.6143591403961182)","('moore', 0.5868595242500305)","('fields', 0.5687719583511353)","('assumed', 0.5473331212997437)","('justify', 0.5158969759941101)","('corresponds', 0.49676409363746643)"
31,prediction,"('if', 0.6363159418106079)","('names', 0.6315785646438599)","('intensions', 0.622445821762085)","('raven', 0.5978797674179077)","('ambiguity', 0.5873448252677917)","('discounting', 0.5539760589599609)","('yielding', 0.5349096655845642)"
32,sense_datum,"('poet', 0.6197764873504639)","('picks', 0.5939058065414429)","('dl', 0.5795704126358032)","('making', 0.5570008754730225)","('sphere', 0.531123697757721)","('frees', 0.4713868498802185)","('individuatives', 0.44078198075294495)"
33,pronouns,"('served', 0.657163143157959)","('for', 0.6243113279342651)","('thatí', 0.616601288318634)","('learned', 0.5962779521942139)","('monograms', 0.5913892984390259)","('are', 0.5437353849411011)","('tenuous', 0.5183825492858887)"
34,meaning,"('gradation', 0.666748046875)","('however', 0.6649000644683838)","('tropes', 0.6647289395332336)","('disquote', 0.657448947429657)","('neighborís', 0.6400115489959717)","('committal', 0.5789175629615784)","('way', 0.5521512627601624)"
35,construction,"('communicated', 0.6393598914146423)","('variant', 0.6064723134040833)","('influential', 0.6052405834197998)","('furry', 0.5936031341552734)","('desk', 0.5911837816238403)","('excise', 0.5491803288459778)","('using', 0.5301908254623413)"
36,conditioning,"('protosyntactically', 0.5732381343841553)","('does', 0.5304706692695618)","('touched', 0.5258488655090332)","('swan', 0.510055422782898)","('lowen', 0.4999712407588959)","('exceptional', 0.4386444687843323)","('dispositional', 0.4167746901512146)"
37,nouns,"('apologetically', 0.6376880407333374)","('starting', 0.6334487199783325)","('denumerable', 0.6240488290786743)","('fied', 0.6018933653831482)","('chunk', 0.5987187027931213)","('window', 0.5546831488609314)","('gavagai', 0.527579665184021)"
38,translation,"('reals', 0.6893601417541504)","('words', 0.6150978803634644)","('ëxy', 0.6067309379577637)","('god', 0.5999559760093689)","('revision', 0.5894582867622375)","('perspective', 0.5530391931533813)","('earlier', 0.5351963043212891)"
39,intension,"('ôp', 0.6619409322738647)","('complements', 0.6599233150482178)","('tully', 0.6430287957191467)","('thing', 0.6012294292449951)","('χχ', 0.5854977369308472)","('linger', 0.5416672825813293)","('anticipation', 0.5246385335922241)"
40,about,"('attitude', 0.6966187357902527)","('designation', 0.694610595703125)","('answering', 0.6930164694786072)","('reason', 0.6861124038696289)","('altogether', 0.662632405757904)","('quirks', 0.6340808868408203)","('descriptions', 0.6094340085983276)"
41,propositional_attitudes,"('theoremhood', 0.5809015035629272)","('manifestation', 0.5634734630584717)","('probably', 0.5582805275917053)","('possible', 0.5516201257705688)","('never', 0.5339020490646362)","('hear', 0.4933311343193054)","('reached', 0.4751298427581787)"
42,utterances,"('molecules', 0.7701681852340698)","('ostension', 0.7477714419364929)","('loof', 0.7061728239059448)","('honorary', 0.6115363836288452)","('ilg', 0.5878394246101379)","('individuating', 0.48001837730407715)","('xí', 0.4481666088104248)"
43,quantification,"('once', 0.6255861520767212)","('immanently', 0.6182039976119995)","('apple', 0.6098297238349915)","('pattern', 0.6037701368331909)","('subsume', 0.5871685743331909)","('pstf', 0.5570308566093445)","('likewise', 0.5391420722007751)"
44,logical_particles,"('reduced', 0.7992552518844604)","('universe', 0.737293004989624)","('metalanguages', 0.669826090335846)","('method', 0.6347755789756775)","('facilitated', 0.6090455055236816)","('conventional', 0.5474004745483398)","('wrong', 0.5148042440414429)"
45,observation_sentences,"('her', 0.6589146852493286)","('despite', 0.6294688582420349)","('freest', 0.6235712170600891)","('word', 0.5981006622314453)","('evaluation', 0.5893480777740479)","('allegory', 0.5538179874420166)","('involving', 0.5356441736221313)"
46,adjectives,"('strangeness', 0.7245843410491943)","('praised', 0.7090355157852173)","('given', 0.7050986289978027)","('catenands', 0.6564942002296448)","('embodying', 0.6454256772994995)","('exclusive', 0.6101387739181519)","('policy', 0.5881138443946838)"
47,objects,"('losing', 0.6898295283317566)","('generalization', 0.6695494055747986)","('cooperating', 0.658652663230896)","('relented', 0.6466934680938721)","('presupposes', 0.640656590461731)","('given', 0.5951076149940491)","('there', 0.5766705274581909)"
48,transparency,"('ie', 0.5985666513442993)","('gtm', 0.5782111883163452)","('cupola', 0.5736038684844971)","('dt', 0.5360708236694336)","('explicative', 0.5219029188156128)","('localized', 0.473137229681015)","('kalaba', 0.44855353236198425)"
49,time,"('likewise', 0.7186992168426514)","('originally', 0.684440016746521)","('superstitious', 0.6828806400299072)","('avail', 0.6699494123458862)","('lives', 0.6376067399978638)","('are', 0.5768078565597534)","('without', 0.551656186580658)"
50,posit,"('meaningfully', 0.6177451014518738)","('impressions', 0.5929021835327148)","('bilingual', 0.5871448516845703)","('redundancies', 0.575054407119751)","('ask', 0.5641120672225952)","('connote', 0.5295965671539307)","('reasoning', 0.5145633220672607)"
51,attributes,"('yehoshua', 0.7022439241409302)","('staple', 0.6878774762153625)","('onawa', 0.686680257320404)","('spotting', 0.6216795444488525)","('resultant', 0.6013602018356323)","('concentrating', 0.5506832599639893)","('here', 0.5258431434631348)"
52,meaninglessness,"('aptly', 0.57521653175354)","('quite', 0.5579918622970581)","('analyses', 0.5166099071502686)","('defectiveness', 0.5043354630470276)","('notion', 0.4890393018722534)","('suspicion', 0.4569425880908966)","('ten', 0.4371635615825653)"
53,intensional_abstraction,"('grandeur', 0.6495062112808228)","('wre', 0.6475462913513184)","('say', 0.6432003974914551)","('referents', 0.630821943283081)","('scope', 0.6096769571304321)","('theorize', 0.5774198174476624)","('honoured', 0.548552393913269)"
54,conditionals,"('examine', 0.615699052810669)","('therewith', 0.60971999168396)","('truth', 0.6090607047080994)","('dating', 0.6081440448760986)","('so', 0.5943564176559448)","('repeated', 0.5534606575965881)","('geometry', 0.51873779296875)"
